SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,7.1,49.9,147.02,balsam fir 
12,7.2,51.8,138.26,balsam fir 
12,7.2,40.7,134.23,balsam fir 
12,7.5,41.3,158.45,balsam fir 
12,7.5,46.1,156.54,balsam fir 
12,7.7,46.6,159.63,balsam fir 
12,8.0,63.0,199.16,balsam fir 
12,8.0,56.1,220.18,balsam fir 
12,8.3,54.3,216.89,balsam fir 
12,8.4,50.1,226.23,balsam fir 
12,8.7,54.8,264.11,balsam fir 
12,8.7,51.9,224.93,balsam fir 
12,8.7,57.0,257.38,balsam fir 
12,8.9,60.3,277.2,balsam fir 
12,9.0,60.6,286.03,balsam fir 
12,9.1,43.5,239.65,balsam fir 
12,9.1,43.4,242.24,balsam fir 
12,9.2,59.1,283.97,balsam fir 
12,9.3,52.6,264.46,balsam fir 
12,9.4,48.6,235.91,balsam fir 
12,9.4,53.0,283.41,balsam fir 
12,9.5,53.5,292.55,balsam fir 
12,9.6,57.5,333.0,balsam fir 
12,9.7,58.8,346.74,balsam fir 
12,9.8,49.4,300.0,balsam fir 
12,9.8,56.7,255.73,balsam fir 
12,9.9,60.0,324.69,balsam fir 
12,10.0,52.7,319.96,balsam fir 
12,10.0,56.6,337.03,balsam fir 
12,10.3,64.7,392.47,balsam fir 
12,10.5,59.1,329.57,balsam fir 
12,10.6,57.7,347.32,balsam fir 
12,10.8,48.5,355.79,balsam fir 
12,10.8,62.2,412.77,balsam fir 
12,11.0,65.0,409.54,balsam fir 
12,11.3,60.4,430.93,balsam fir 
12,11.4,61.4,455.01,balsam fir 
12,11.5,63.4,486.22,balsam fir 
12,11.7,72.8,564.2,balsam fir 
12,11.8,67.0,520.81,balsam fir 
12,5.1,39.2,59.68,balsam fir 
12,11.9,59.8,484.43,balsam fir 
12,12.0,66.0,536.53,balsam fir 
12,12.2,69.4,551.64,balsam fir 
12,12.5,58.9,504.72,balsam fir 
12,12.8,57.3,530.26,balsam fir 
12,13.1,59.1,588.81,balsam fir 
12,13.3,59.3,608.74,balsam fir 
12,13.9,67.1,686.3,balsam fir 
12,14.0,55.9,652.6,balsam fir 
12,15.4,65.3,788.21,balsam fir 
12,5.3,41.6,61.41,balsam fir 
12,5.5,41.9,77.26,balsam fir 
12,5.7,45.0,77.94,balsam fir 
12,5.8,52.0,96.0,balsam fir 
12,5.9,51.7,108.38,balsam fir 
12,6.0,42.4,80.2,balsam fir 
12,6.2,52.8,109.09,balsam fir 
12,6.3,42.1,98.94,balsam fir 
12,6.3,37.1,99.56,balsam fir 
12,6.4,47.2,130.06,balsam fir 
12,5.3,45.9,70.38,balsam fir 
12,5.7,36.3,71.48,balsam fir 
12,6.3,49.6,97.7,balsam fir 
12,6.7,48.4,142.26,balsam fir 
12,7.1,46.2,130.41,balsam fir 
12,7.2,37.5,127.91,balsam fir 
12,7.2,41.0,135.7,balsam fir 
12,7.6,38.8,146.17,balsam fir 
12,8.0,42.9,165.57,balsam fir 
12,8.1,53.8,221.36,balsam fir 
12,8.2,48.0,171.8,balsam fir 
12,8.6,58.4,238.82,balsam fir 
12,8.7,52.1,221.11,balsam fir 
12,8.9,53.7,231.52,balsam fir 
12,9.1,64.8,300.77,balsam fir 
12,9.2,65.8,313.91,balsam fir 
12,9.4,53.1,261.36,balsam fir 
12,9.5,56.7,307.49,balsam fir 
12,9.6,59.4,320.27,balsam fir 
12,9.7,51.8,284.9,balsam fir 
12,9.8,53.6,316.59,balsam fir 
12,9.8,50.6,316.02,balsam fir 
12,9.9,60.9,340.69,balsam fir 
12,10.0,58.2,331.18,balsam fir 
12,10.0,55.7,309.21,balsam fir 
12,10.5,58.0,377.6,balsam fir 
12,10.6,53.4,369.81,balsam fir 
12,10.7,65.1,429.67,balsam fir 
12,10.8,65.3,462.13,balsam fir 
12,11.2,69.2,498.36,balsam fir 
12,11.4,46.1,381.7,balsam fir 
12,11.5,70.2,495.8,balsam fir 
12,11.6,62.5,455.24,balsam fir 
12,11.7,60.3,468.74,balsam fir 
12,11.9,70.4,570.95,balsam fir 
12,12.2,63.7,508.11,balsam fir 
12,13.0,67.3,638.04,balsam fir 
12,6.5,51.1,130.74,balsam fir 
12,6.6,40.2,109.09,balsam fir 
12,6.7,49.0,118.49,balsam fir 
12,6.9,52.0,137.25,balsam fir 
12,7.0,51.7,145.95,balsam fir 
12,7.0,44.3,117.71,balsam fir 
12,7.2,53.4,154.34,balsam fir 
12,7.3,50.9,141.48,balsam fir 
